藥品編號,收費編號,藥品英文名,藥品中文名,顏色,形狀,劑型,廠牌名,中文加強描述,英文加強描述,備註
PLC031M,PLC031M     1PC,Plavix,保栓通,粉紅色,圓形,錠劑,賽諾菲安萬特,有 75字樣,imprint with "75",
PMC011M,,Dusphaston,得胎隆錠,白色,圓形,錠劑,Solvay,有144與 S字樣,imprint with 144 & S,
PMC028M,,Climen,可麗安,白色與粉紅色,圓形,錠劑,Schering,,,
PMC032M,,Premelle 2.5,普力馬林-合連續錠,肉色,橢圓形,錠劑,惠氏,有0.625/2.5字樣,imprint with 0.625/2.5,
PMC042M,PMC042M UL1 1PC,Medrone,美得能,粉紅色,橢圓形,錠劑,健喬信元,一面有刻痕與UL，另一面 " 131",scored, imprint with UL on one side and "131" on other side.,106.11.01
PMC054M,PMC054M     1PC,Gynera,祈麗安,白色,圓形,錠劑,Schering,,,
PME002M,PME002M     1PC,Glucobay 50mg,醣祿,白色,圓形,錠劑,拜耳,有G/50與 BAYER字樣,imprint with G/50 & BAYER,
PIB010M,,Destone,去石寧,白色,圓形,錠劑,南光,有NK 與 K5 字樣,imprint with NK & K5,
PKF034M,,Navoban,,黃/白色,,膠囊,諾華,有NAVOBAN 5mg 與 S字樣,imprint with NAVOBAN 5mg & S,
PFA021M,PFA021M     1PC,Cardizem Retard,凱帝心徐放錠,白色,圓形,持續性藥效錠,Qpharma/台田,,,102.12.09
PEB003M,PEB003M     1PC,Suzin,舒腦,紅/黑色,,鋁箔裝膠囊,生達,有STD及520字樣,imprint with STD & 520,96.4.9
